date,中证500,创业板综,S&P 500,MSCI新兴市场,COMEX黄金
2017-01-01,6263.6256,2600.796,2238.8267,862.274838,1152
2017-01-02,6263.6256,2600.796,2238.8267,861.881803,1152
2017-01-03,6320.7626,2613.6773,2257.828,868.440518,1159.4
2017-01-04,6394.6694,2651.0271,2270.7525,871.45382,1164.2
2017-01-05,6399.2841,2642.3276,2268.9985,881.717379,1180.9
2017-01-06,6371.6168,2612.6448,2276.9814,881.112128,1172.9
2017-01-07,6371.6168,2612.6448,2276.9814,881.112128,1172.9
2017-01-08,6371.6168,2612.6448,2276.9814,881.112128,1172.9
2017-01-09,6415.4176,2611.1307,2268.9042,878.440096,1181.2
2017-01-10,6393.9283,2600.9068,2268.8995,885.70134,1187.6
2017-01-11,6331.9638,2573.6609,2275.3159,886.732375,1191.5
2017-01-12,6272.851,2555.2404,2270.4429,896.63776,1195.1
2017-01-13,6194.6575,2507.2773,2274.6377,895.975744,1197.1
2017-01-14,6194.6575,2507.2773,2274.6377,895.975744,1197.1
2017-01-15,6194.6575,2507.2773,2274.6377,895.975744,1197.1
2017-01-16,6031.2414,2397.3484,2274.6377,889.105485,1202.6
2017-01-17,6082.0657,2441.2155,2267.8886,894.87136,1216.7
2017-01-18,6068.593,2409.8843,2271.8894,897.885349,1203.7
2017-01-19,6043.675,2405.8696,2263.6868,894.51808,1204.3
2017-01-20,6121.9983,2455.6183,2271.3147,893.28433,1210.2
2017-01-21,6121.9983,2455.6183,2271.3147,893.28433,1210.2
2017-01-22,6121.9983,2455.6183,2271.3147,893.28433,1210.2
2017-01-23,6172.1671,2476.6203,2265.2002,902.139049,1217.8
2017-01-24,6165.2642,2451.8334,2280.0742,908.631032,1208.6
2017-01-25,6179.5681,2465.995,2298.3674,912.159401,1203
2017-01-26,6223.7061,2487.7285,2296.6808,916.728309,1190.8
2017-01-27,6223.7061,2487.7285,2294.6897,915.920889,1193.7
2017-01-28,6223.7061,2487.7285,2294.6897,915.920889,1193.7
2017-01-29,6223.7061,2487.7285,2294.6897,915.920889,1193.7
2017-01-30,6223.7061,2487.7285,2280.8963,913.088917,1197.4
2017-01-31,6223.7061,2487.7285,2278.8669,909.228195,1212.4
2017-02-01,6223.7061,2487.7285,2279.5543,912.999243,1211.7
2017-02-02,6223.7061,2487.7285,2280.8504,915.207642,1217.5
2017-02-03,6207.0921,2474.8814,2297.4159,918.872547,1222
2017-02-04,6207.0921,2474.8814,2297.4159,918.872547,1222
2017-02-05,6207.0921,2474.8814,2297.4159,918.872547,1222
2017-02-06,6259.2471,2507.7403,2292.5584,922.985496,1237.3
2017-02-07,6255.927,2497.9129,2293.0811,919.804862,1235.5
2017-02-08,6291.5977,2522.4051,2294.6686,921.676537,1243.1
2017-02-09,6331.1771,2541.8125,2307.8746,925.573907,1229.4
2017-02-10,6337.1081,2524.5618,2316.0971,930.158728,1234.7
2017-02-11,6337.1081,2524.5618,2316.0971,930.158728,1234.7
2017-02-12,6337.1081,2524.5618,2316.0971,930.158728,1234.7
2017-02-13,6369.6526,2542.5458,2328.2533,935.448022,1226.1
2017-02-14,6374.8852,2536.5586,2337.5846,934.078407,1229.2
2017-02-15,6311.6959,2515.0872,2349.2474,941.779104,1234.7
2017-02-16,6359.3361,2522.6949,2347.2235,945.618054,1240.1
2017-02-17,6307.1627,2498.5999,2351.1617,939.032562,1236
2017-02-18,6307.1627,2498.5999,2351.1617,939.032562,1236
2017-02-19,6307.1627,2498.5999,2351.1617,939.032562,1236
2017-02-20,6385.0625,2509.7064,2351.1617,943.582007,1236
2017-02-21,6434.4383,2546.0309,2365.3827,945.640403,1236.7
2017-02-22,6474.225,2549.3407,2362.8215,950.953356,1238.2
2017-02-23,6473.993,2558.5541,2363.8067,952.117149,1250.7
2017-02-24,6476.1655,2577.9068,2367.3442,943.515432,1258
2017-02-25,6476.1655,2577.9068,2367.3442,943.515432,1258
2017-02-26,6476.1655,2577.9068,2367.3442,943.515432,1258
2017-02-27,6424.2549,2563.8497,2369.7503,940.317107,1253.4
2017-02-28,6450.9701,2570.2402,2363.6382,936.371428,1248.8
2017-03-01,6467.6385,2577.3322,2395.9571,938.468395,1250
2017-03-02,6434.6262,2561.3322,2381.9182,936.37326,1234.4
2017-03-03,6452.839,2578.4543,2383.117,931.06793,1234.9
2017-03-04,6452.839,2578.4543,2383.117,931.06793,1234.9
2017-03-05,6452.839,2578.4543,2383.117,931.06793,1234.9
2017-03-06,6517.3235,2622.4686,2375.3111,934.423292,1225.5
2017-03-07,6523.1868,2636.2559,2368.3942,936.501256,1215.9
2017-03-08,6497.0878,2621.55,2362.977,934.901683,1208.1
2017-03-09,6439.3822,2611.4119,2364.8698,922.937934,1200.9
2017-03-10,6447.9165,2609.1662,2372.5978,926.143466,1204.5
2017-03-11,6447.9165,2609.1662,2372.5978,926.143466,1204.5
2017-03-12,6447.9165,2609.1662,2372.5978,926.143466,1204.5
2017-03-13,6507.8964,2636.5375,2373.473,938.502659,1203.6
2017-03-14,6493.4846,2627.9995,2365.4549,939.966525,1198.5
2017-03-15,6486.0616,2627.4853,2385.2645,943.515467,1219.6
2017-03-16,6543.3407,2651.5087,2381.3822,963.201607,1226.1
2017-03-17,6483.2463,2631.823,2378.2531,965.567193,1228.9
2017-03-18,6483.2463,2631.823,2378.2531,965.567193,1228.9
2017-03-19,6483.2463,2631.823,2378.2531,965.567193,1228.9
2017-03-20,6498.3416,2640.9716,2373.4716,972.352311,1234
2017-03-21,6515.9458,2648.1809,2344.0171,973.082862,1244.6
2017-03-22,6499.7928,2633.1264,2348.4488,966.97014,1248.6
2017-03-23,6512.1874,2633.1993,2345.9622,967.923056,1248.1
2017-03-24,6546.615,2644.1834,2343.9781,969.125981,1246.4
2017-03-25,6546.615,2644.1834,2343.9781,969.125981,1246.4
2017-03-26,6546.615,2644.1834,2343.9781,969.125981,1246.4
2017-03-27,6516.0326,2627.9152,2341.5906,965.708117,1257.3
2017-03-28,6498.6902,2620.9778,2358.5665,970.320968,1254.8
2017-03-29,6480.543,2587.2092,2361.133,971.864088,1256.3
2017-03-30,6375.7437,2523.7774,2368.0606,969.467381,1244.8
2017-03-31,6401.6479,2535.4918,2362.7182,958.368557,1251.6
2017-04-01,6401.6479,2535.4918,2362.7182,958.368557,1251.6
2017-04-02,6401.6479,2535.4918,2362.7182,958.368557,1251.6
2017-04-03,6401.6479,2535.4918,2358.8351,965.146888,1255.4
2017-04-04,6401.6479,2535.4918,2360.1557,965.172039,1258
2017-04-05,6539.9665,2587.2051,2352.9482,969.22202,1257.6
2017-04-06,6559.6526,2595.8329,2357.4891,963.291367,1253.6
2017-04-07,6578.726,2594.4732,2355.545,961.612751,1256.1
2017-04-08,6578.726,2594.4732,2355.545,961.612751,1256.1
2017-04-09,6578.726,2594.4732,2355.545,961.612751,1256.1
2017-04-10,6566.5441,2543.3467,2357.1634,958.001448,1256.4
2017-04-11,6629.1661,2558.9146,2353.777,954.439479,1276.5
2017-04-12,6576.4761,2523.0968,2344.9263,958.203812,1288.9
2017-04-13,6615.7042,2537.7114,2328.9533,962.853226,1290.1
2017-04-14,6528.1624,2504.9046,2328.9533,960.427275,1290.1
2017-04-15,6528.1624,2504.9046,2328.9533,960.427275,1290.1
2017-04-16,6528.1624,2504.9046,2328.9533,960.427275,1290.1
2017-04-17,6456.598,2463.5125,2328.9533,962.708545,1286.3
2017-04-18,6418.2114,2433.1126,2328.9533,957.69726,1291.5
2017-04-19,6350.6465,2423.8226,2338.166,952.923456,1282
2017-04-20,6347.7732,2414.4766,2355.8441,958.448571,1283.5
2017-04-21,6300.7128,2400.0114,2348.695,961.779891,1285.9
2017-04-22,6300.7128,2400.0114,2348.695,961.779891,1285.9
2017-04-23,6300.7128,2400.0114,2348.695,961.779891,1285.9
2017-04-24,6138.5049,2349.105,2374.1507,971.358769,1277.9
2017-04-25,6160.4612,2361.6318,2388.6149,982.650453,1265.5
2017-04-26,6176.3981,2368.1268,2387.4479,982.53231,1270.7
2017-04-27,6192.3044,2402.3293,2388.7688,979.662875,1265.4
2017-04-28,6211.8624,2415.0874,2384.1955,977.958508,1269.5
2017-04-29,6211.8624,2415.0874,2384.1955,977.958508,1269.5
2017-04-30,6211.8624,2415.0874,2384.1955,977.958508,1269.5
2017-05-01,6211.8624,2415.0874,2388.3272,979.760963,1257.4
2017-05-02,6216.115,2417.5101,2391.1659,988.190239,1257.8
2017-05-03,6197.4779,2410.6677,2388.1349,985.737076,1238.5
2017-05-04,6176.3053,2406.9512,2389.5217,980.065262,1228.4
2017-05-05,6089.6828,2380.0153,2399.2857,978.27278,1228.4
2017-05-06,6089.6828,2380.0153,2399.2857,978.27278,1228.4
2017-05-07,6089.6828,2380.0153,2399.2857,978.27278,1228.4
2017-05-08,5975.5395,2340.9278,2399.3773,985.105376,1226.2
2017-05-09,6012.0016,2361.9186,2396.9194,990.603236,1221.3
2017-05-10,5885.841,2318.4985,2399.63,995.093392,1219.1
2017-05-11,5872.6391,2315.919,2394.4398,1000.347169,1225
2017-05-12,5863.7832,2315.5138,2390.8972,1002.37435,1227.8
2017-05-13,5863.7832,2315.5138,2390.8972,1002.37435,1227.8
2017-05-14,5863.7832,2315.5138,2390.8972,1002.37435,1227.8
2017-05-15,5893.5075,2323.7464,2402.3203,1010.232584,1230.5
2017-05-16,6014.7344,2383.154,2400.6742,1015.048845,1236.8
2017-05-17,6027.6504,2392.7409,2357.0322,1008.628502,1261.2
2017-05-18,5976.2998,2379.7487,2365.724,988.37579,1246.8
2017-05-19,5974.9772,2369.3795,2381.7267,995.670927,1255.7
2017-05-20,5974.9772,2369.3795,2381.7267,995.670927,1255.7
2017-05-21,5974.9772,2369.3795,2381.7267,995.670927,1255.7
2017-05-22,5888.8127,2328.0048,2394.0241,1003.655617,1260.5
2017-05-23,5764.8759,2265.1886,2398.4186,1004.469174,1250.8
2017-05-24,5799.2499,2289.0571,2404.387,1005.026096,1258.6
2017-05-25,5850.8006,2296.0915,2415.0657,1014.548457,1258.8
2017-05-26,5836.9338,2287.7595,2415.8225,1017.001528,1270.1
2017-05-27,5836.9338,2287.7595,2415.8225,1017.001528,1270.1
2017-05-28,5836.9338,2287.7595,2415.8225,1017.001528,1270.1
2017-05-29,5836.9338,2287.7595,2415.8225,1015.187937,1270.4
2017-05-30,5836.9338,2287.7595,2412.9066,1011.77403,1265.6
2017-05-31,5824.1042,2281.9809,2411.7973,1005.325509,1271.4
2017-06-01,5709.9994,2214.9278,2430.0611,1008.469952,1268.3
2017-06-02,5772.5174,2243.9855,2439.0703,1015.081121,1281.5
2017-06-03,5772.5174,2243.9855,2439.0703,1015.081121,1281.5
2017-06-04,5772.5174,2243.9855,2439.0703,1015.081121,1281.5
2017-06-05,5815.8022,2266.054,2436.0962,1017.594769,1281.9
2017-06-06,5841.5232,2272.9189,2429.3273,1015.885634,1296.6
2017-06-07,5955.0153,2324.7337,2433.1374,1015.746811,1289.5
2017-06-08,5958.977,2316.8591,2433.7906,1019.064668,1280.3
2017-06-09,5969.2741,2317.4108,2431.7724,1018.185927,1268.8
2017-06-10,5969.2741,2317.4108,2431.7724,1018.185927,1268.8
2017-06-11,5969.2741,2317.4108,2431.7724,1018.185927,1268.8
2017-06-12,5902.8551,2277.4153,2429.3913,1008.923036,1267.9
2017-06-13,5980.0566,2311.6621,2440.3475,1009.782209,1268.5
2017-06-14,5966.4314,2311.4404,2437.9205,1013.691116,1262.5
2017-06-15,6021.1651,2347.828,2432.4591,1003.643081,1255.5
2017-06-16,6012.9996,2340.294,2433.1508,1003.120986,1255.2
2017-06-17,6012.9996,2340.294,2433.1508,1003.120986,1255.2
2017-06-18,6012.9996,2340.294,2433.1508,1003.120986,1255.2
2017-06-19,6057.4115,2350.3496,2453.4586,1012.947032,1245.1
2017-06-20,6066.9046,2355.1811,2437.0281,1008.671336,1244.1
2017-06-21,6078.1925,2358.784,2435.6117,1006.467554,1247.5
2017-06-22,5992.3352,2314.497,2434.4974,1008.806786,1251.2
2017-06-23,6010.3137,2320.2609,2438.2969,1011.666098,1257.8
2017-06-24,6010.3137,2320.2609,2438.2969,1011.666098,1257.8
2017-06-25,6010.3137,2320.2609,2438.2969,1011.666098,1257.8
2017-06-26,6111.6406,2341.1076,2439.0655,1019.108498,1245.3
2017-06-27,6113.1658,2341.6559,2419.3759,1016.675536,1247.5
2017-06-28,6086.2112,2322.5213,2440.6903,1012.103021,1249.4
2017-06-29,6116.9932,2331.9336,2419.6971,1014.021171,1245.6
2017-06-30,6138.1556,2337.5955,2423.4089,1010.800247,1241.4
2017-07-01,6138.1556,2337.5955,2423.4089,1010.800247,1241.4
2017-07-02,6138.1556,2337.5955,2423.4089,1010.800247,1241.4
2017-07-03,6177.3953,2362.5514,2429.0149,1014.241114,1219.5
2017-07-04,6146.8527,2356.9623,2429.0149,1006.724809,1223
2017-07-05,6193.9641,2373.2618,2432.5423,1009.849178,1226.5
2017-07-06,6201.6535,2375.7241,2409.7498,1006.160166,1224.7
2017-07-07,6226.0108,2377.8515,2425.177,1002.481076,1211.9
2017-07-08,6226.0108,2377.8515,2425.177,1002.481076,1211.9
2017-07-09,6226.0108,2377.8515,2425.177,1002.481076,1211.9
2017-07-10,6206.5568,2342.344,2427.4345,1009.292929,1213.7
2017-07-11,6128.9942,2310.9476,2425.5262,1018.199385,1217
2017-07-12,6132.9922,2312.9173,2443.2512,1029.901372,1219.7
2017-07-13,6149.9337,2300.0887,2447.8343,1040.723968,1216.7
2017-07-14,6128.7397,2270.0458,2459.271,1047.05073,1228
2017-07-15,6128.7397,2270.0458,2459.271,1047.05073,1228
2017-07-16,6128.7397,2270.0458,2459.271,1047.05073,1228
2017-07-17,5876.4592,2139.0007,2459.1407,1051.546606,1233.2
2017-07-18,5938.4342,2151.4774,2460.6104,1053.225683,1241.9
2017-07-19,6059.3582,2167.4031,2473.8278,1060.118355,1240.9
2017-07-20,6099.2835,2171.4754,2473.4494,1059.400297,1243.9
2017-07-21,6126.1083,2168.6489,2472.5359,1060.178212,1261.1
2017-07-22,6126.1083,2168.6489,2472.5359,1060.178212,1261.1
2017-07-23,6126.1083,2168.6489,2472.5359,1060.178212,1261.1
2017-07-24,6167.1282,2173.941,2469.9119,1064.268288,1261.8
2017-07-25,6153.5984,2176.3362,2477.1254,1061.686675,1256.1
2017-07-26,6146.7028,2173.1709,2477.8305,1062.294072,1266.7
2017-07-27,6184.0207,2248.3471,2475.4209,1068.949977,1265
2017-07-28,6215.4633,2235.0852,2472.0985,1062.974381,1275.6
2017-07-29,6215.4633,2235.0852,2472.0985,1062.974381,1275.6
2017-07-30,6215.4633,2235.0852,2472.0985,1062.974381,1275.6
2017-07-31,6298.0004,2239.6874,2470.3,1066.233316,1275.4
2017-08-01,6286.5362,2244.0904,2476.3472,1069.003254,1274.9
2017-08-02,6251.8627,2219.805,2477.5681,1069.97214,1272.6
2017-08-03,6261.9676,2233.8856,2472.1576,1064.072507,1274.4
2017-08-04,6225.1151,2217.3217,2476.831,1067.255774,1264.3
2017-08-05,6225.1151,2217.3217,2476.831,1067.255774,1264.3
2017-08-06,6225.1151,2217.3217,2476.831,1067.255774,1264.3
2017-08-07,6303.4209,2234.5412,2480.912,1075.363548,1263.4
2017-08-08,6303.716,2260.91,2474.9188,1078.526923,1266.5
2017-08-09,6340.022,2261.8259,2474.0171,1068.919915,1283.2
2017-08-10,6289.2174,2243.2041,2438.2097,1056.213334,1292.1
2017-08-11,6161.1903,2227.8868,2441.3202,1042.797972,1295
2017-08-12,6161.1903,2227.8868,2441.3202,1042.797972,1295
2017-08-13,6161.1903,2227.8868,2441.3202,1042.797972,1295
2017-08-14,6292.6418,2289.4561,2465.8358,1053.652969,1287.8
2017-08-15,6314.7608,2296.9734,2464.61,1052.50852,1277
2017-08-16,6318.7986,2328.4168,2468.1073,1060.272431,1288.8
2017-08-17,6366.034,2341.9986,2430.0079,1063.325167,1293.6
2017-08-18,6347.7557,2322.8988,2425.5522,1059.539846,1290.1
2017-08-19,6347.7557,2322.8988,2425.5522,1059.539846,1290.1
2017-08-20,6347.7557,2322.8988,2425.5522,1059.539846,1290.1
2017-08-21,6403.7803,2338.209,2428.368,1063.663103,1297.4
2017-08-22,6375.9814,2319.1796,2452.5103,1072.522757,1290.4
2017-08-23,6322.7819,2315.1625,2444.0432,1075.598639,1296.3
2017-08-24,6278.59,2298.4376,2438.9681,1082.450788,1291.5
2017-08-25,6346.5305,2322.9343,2443.0458,1085.374311,1296.5
2017-08-26,6346.5305,2322.9343,2443.0458,1085.374311,1296.5
2017-08-27,6346.5305,2322.9343,2443.0458,1085.374311,1296.5
2017-08-28,6424.5841,2361.7905,2444.2403,1085.079065,1315.5
2017-08-29,6408.1567,2349.2004,2446.2955,1081.230464,1314.6
2017-08-30,6453.4636,2355.4077,2457.5858,1088.004549,1313.8
2017-08-31,6470.4259,2371.293,2471.6502,1087.697609,1326.6
2017-09-01,6526.5046,2393.4123,2476.5524,1091.360181,1330
2017-09-02,6526.5046,2393.4123,2476.5524,1091.360181,1330
2017-09-03,6526.5046,2393.4123,2476.5524,1091.360181,1330
2017-09-04,6564.6804,2418.2161,2476.5524,1083.337741,1339.4
2017-09-05,6571.8591,2422.1501,2457.8499,1084.929154,1344.9
2017-09-06,6607.1176,2445.6139,2465.5436,1083.179568,1339
2017-09-07,6558.5963,2434.6781,2465.1021,1090.097614,1354
2017-09-08,6574.1826,2432.9012,2461.4336,1091.170343,1351
2017-09-09,6574.1826,2432.9012,2461.4336,1091.170343,1351
2017-09-10,6574.1826,2432.9012,2461.4336,1091.170343,1351
2017-09-11,6649.6276,2454.4674,2488.108,1099.176562,1331.7
2017-09-12,6644.0118,2438.3777,2496.4836,1102.261328,1336
2017-09-13,6684.3798,2447.5916,2498.3708,1099.459956,1327.1
2017-09-14,6672.1849,2440.1869,2495.6192,1099.889704,1333.6
2017-09-15,6622.0438,2428.6618,2500.2259,1102.164266,1323.5
2017-09-16,6622.0438,2428.6618,2500.2259,1102.164266,1323.5
2017-09-17,6622.0438,2428.6618,2500.2259,1102.164266,1323.5
2017-09-18,6669.4548,2453.6939,2503.8696,1112.919964,1311
2017-09-19,6636.0201,2441.6843,2506.6479,1109.630389,1314.6
