para,GBR_date_test,GBR_date_train,GBR_test,GBR_train,RandomForest_date_test,RandomForest_date_train,RandomForest_test,RandomForest_train
10,32256.09001,30259.53706,29984.29311,25835.28029,27945.33405,16962.34172,31265.59579,11306.24773
10,32256.09001,30259.53706,30039.58221,25835.28029,27945.33405,16962.34172,31265.59579,11306.24773
20,30612.21422,26813.73257,28595.69149,19490.36199,27972.24207,15739.95941,30713.8406,11135.30827
30,30079.68646,24928.18228,29159.81583,15005.7499,27361.85953,15420.87023,30008.05802,11632.3703
40,30023.18041,23750.25918,29516.53901,12642.14172,27482.13597,15239.36639,28872.53819,11479.49859
50,30334.12373,23144.80957,29926.91504,10885.76381,27441.65469,15223.27184,28810.22274,11500.43976
60,30583.83959,22475.79381,29943.85081,9496.519195,27375.32574,15004.07745,29094.43006,11347.37326
70,30794.15234,21689.62366,30134.43654,8127.956126,27597.73643,14923.98414,29436.66231,11296.49775
80,31020.42717,20952.44471,30502.00816,6938.18857,27450.34323,14876.2701,29290.41536,11292.51044
90,31189.01003,20502.81367,30612.18379,6148.130495,27227.93645,14741.11525,29472.44393,11238.35371
100,31158.96492,20144.25516,30850.46739,5473.028099,27361.86634,14837.78602,29662.78512,11227.23302
100,31154.03524,20144.25516,30585.09423,5473.028099,27361.86634,14837.78602,29662.78512,11227.23302
120,31179.96467,19549.72364,31062.49118,3892.312083,27403.67226,14757.02532,29404.70295,11128.60622
230,31211.7137,17350.06505,31122.37838,937.1932109,27214.93058,14764.63602,29427.14658,11122.25424
340,31308.70725,15485.46441,31551.78435,237.8509439,27231.12032,14661.09184,29364.26472,11048.27334
450,31846.69668,13880.74424,31465.72048,66.03613834,27198.46226,14582.04436,29273.27716,11024.22025
560,31745.08659,13010.81777,31277.11185,19.60481017,27255.15582,14545.63646,29364.571,10978.46039
670,32375.4604,12466.66977,31102.83607,5.267919521,27418.70947,14547.88706,29357.30761,10932.71279
780,32649.23322,11939.19483,31745.12103,1.520899366,27309.33988,14572.36145,29430.27608,10972.60586
890,32682.22393,11558.12305,31550.55687,0.419797568,27312.49064,14523.21611,29454.59169,11016.36919
1000,32874.4443,11255.31139,31311.95655,0.123493026,27314.96761,14536.81085,29420.09864,10995.94547
1200,33270.29372,10845.71052,31580.3707,0.012719887,27291.95617,14531.96644,29481.26246,10986.35119
2300,34487.09107,9612.286355,30940.19058,0.000253172,27285.70825,14574.99653,29400.77282,11024.35387
3400,35378.30393,8840.84099,31262.33483,0.000253172,27308.32318,14558.92703,29430.26052,10929.03763
4500,36226.51638,8336.112161,31341.54778,0.000253172,27297.94107,14559.19834,29389.39452,10952.11604
5600,36719.00505,7955.372702,31222.50292,0.000253172,27302.05372,14580.56621,29394.7983,10952.52915
6700,37223.84782,7635.706343,31478.15043,0.000253172,27299.84983,14585.49653,29410.83295,10964.23338
7800,37604.79949,7368.445409,31164.26801,0.000253172,27324.18461,14592.97192,29402.06454,10958.51979
8900,37885.57342,7131.116002,31706.34314,0.000253172,27334.97831,14600.03831,29398.58256,10953.35548
10000,38220.40747,6962.415911,31599.14159,0.000253172,27344.07971,14610.67277,29403.02673,10951.47192
